,Words,TF,IDF,TF-IDF
115,since,3.0,2.302585092994046,6.907755278982138
116,union,1.0,2.995732273553991,2.995732273553991
117,give,5.0,1.3862943611198906,6.931471805599453
118,663,1.0,2.995732273553991,2.995732273553991
119,stop,1.0,2.995732273553991,2.995732273553991
120,increase,1.0,2.995732273553991,2.995732273553991
121,15,1.0,2.302585092994046,2.302585092994046
122,cargo,1.0,2.995732273553991,2.995732273553991
123,discover,1.0,2.302585092994046,2.302585092994046
124,holiday,3.0,2.995732273553991,8.987196820661973
125,refused,2.0,2.302585092994046,4.605170185988092
126,canceled,6.0,1.3862943611198906,8.317766166719343
127,can,3.0,0.5108256237659907,1.5324768712979722
128,nearly,1.0,2.995732273553991,2.995732273553991
129,booked,1.0,2.995732273553991,2.995732273553991
130,travel,5.0,2.302585092994046,11.51292546497023
131,s,1.0,0.0,0.0
132,taken,1.0,2.995732273553991,2.995732273553991
133,money,3.0,1.8971199848858813,5.691359954657644
134,responsible,1.0,2.995732273553991,2.995732273553991
135,5200,1.0,2.995732273553991,2.995732273553991
136,jointly,1.0,2.995732273553991,2.995732273553991
137,operator,1.0,2.995732273553991,2.995732273553991
138,placedespite,1.0,2.995732273553991,2.995732273553991
139,2,1.0,1.6094379124341003,1.6094379124341003
140,tour,1.0,2.995732273553991,2.995732273553991
141,back,9.0,1.2039728043259361,10.835755238933425
142,paid,5.0,1.3862943611198906,6.931471805599453
143,favour,1.0,2.995732273553991,2.995732273553991
144,refund,3.0,2.302585092994046,6.907755278982138
145,week,3.0,2.302585092994046,6.907755278982138
146,flight,2.0,2.302585092994046,4.605170185988092
147,trying,2.0,2.302585092994046,4.605170185988092
148,ever,4.0,0.5108256237659907,2.043302495063963
149,easy,1.0,2.995732273553991,2.995732273553991
150,nationwide,1.0,2.995732273553991,2.995732273553991
151,useless,1.0,2.995732273553991,2.995732273553991
152,airlinebeen,1.0,2.995732273553991,2.995732273553991
153,platino,3.0,2.302585092994046,6.907755278982138
154,service,10.0,0.9162907318741551,9.162907318741551
155,every,4.0,1.6094379124341003,6.437751649736401
156,cannot,1.0,2.995732273553991,2.995732273553991
157,torturedespite,1.0,2.995732273553991,2.995732273553991
158,big,2.0,2.302585092994046,4.605170185988092
159,timetheir,1.0,2.995732273553991,2.995732273553991
160,paying,1.0,2.995732273553991,2.995732273553991
161,suck,1.0,2.995732273553991,2.995732273553991
162,perennial,1.0,2.995732273553991,2.995732273553991
163,help,1.0,2.302585092994046,2.302585092994046
164,told,8.0,1.2039728043259361,9.631782434607489
165,transferred,2.0,2.302585092994046,4.605170185988092
166,rude,1.0,2.995732273553991,2.995732273553991
167,different,1.0,2.995732273553991,2.995732273553991
168,4,1.0,1.6094379124341003,1.6094379124341003
169,great,1.0,2.995732273553991,2.995732273553991
170,resolved,1.0,2.995732273553991,2.995732273553991
171,issue,3.0,2.302585092994046,6.907755278982138
172,le,1.0,0.43078291609245434,0.43078291609245434
173,quickly,1.0,2.995732273553991,2.995732273553991
174,fixed,1.0,2.995732273553991,2.995732273553991
175,polite,1.0,2.995732273553991,2.995732273553991
176,wonderful,2.0,2.302585092994046,4.605170185988092
177,minute,1.0,2.995732273553991,2.995732273553991
178,problem,1.0,2.302585092994046,2.302585092994046
179,answer,1.0,2.995732273553991,2.995732273553991
180,to,2.0,0.16251892949777494,0.3250378589955499
181,dispute,13.0,1.8971199848858813,24.66255980351646
182,illegal,2.0,2.995732273553991,5.991464547107982
183,provided,2.0,2.995732273553991,5.991464547107982
184,able,2.0,2.302585092994046,4.605170185988092
185,escapade,1.0,2.995732273553991,2.995732273553991
186,bring,1.0,2.995732273553991,2.995732273553991
187,section,1.0,2.995732273553991,2.995732273553991
188,ask,3.0,1.2039728043259361,3.6119184129778086
189,merits,1.0,2.995732273553991,2.995732273553991
190,want,2.0,2.302585092994046,4.605170185988092
191,cases,1.0,2.995732273553991,2.995732273553991
