,words,tf,idf,tfidf
115,quicksilver,1.0,2.995732273553991,2.995732273553991
116,would,3.0,1.8971199848858813,5.691359954657644
117,right,2.0,2.302585092994046,4.605170185988092
118,in,2.0,0.16251892949777494,0.3250378589955499
119,15,1.0,2.302585092994046,2.302585092994046
120,utilization,1.0,2.995732273553991,2.995732273553991
121,two,1.0,1.8971199848858813,1.8971199848858813
122,stop,1.0,2.995732273553991,2.995732273553991
123,value,1.0,2.302585092994046,2.302585092994046
124,holiday,3.0,2.995732273553991,8.987196820661973
125,s,1.0,0.0,0.0
126,refused,2.0,2.302585092994046,4.605170185988092
127,booked,1.0,2.995732273553991,2.995732273553991
128,operator,1.0,2.995732273553991,2.995732273553991
129,taken,1.0,2.995732273553991,2.995732273553991
130,2,1.0,1.6094379124341003,1.6094379124341003
131,responsible,1.0,2.995732273553991,2.995732273553991
132,travel,5.0,2.302585092994046,11.51292546497023
133,tour,1.0,2.995732273553991,2.995732273553991
134,canceled,6.0,1.3862943611198906,8.317766166719343
135,placedespite,1.0,2.995732273553991,2.995732273553991
136,5200,1.0,2.995732273553991,2.995732273553991
137,nearly,1.0,2.995732273553991,2.995732273553991
138,paid,5.0,1.3862943611198906,6.931471805599453
139,jointly,1.0,2.995732273553991,2.995732273553991
140,back,9.0,1.2039728043259361,10.835755238933425
141,can,3.0,0.5108256237659907,1.5324768712979722
142,money,3.0,1.8971199848858813,5.691359954657644
143,week,3.0,2.302585092994046,6.907755278982138
144,trying,2.0,2.302585092994046,4.605170185988092
145,useless,1.0,2.995732273553991,2.995732273553991
146,airlinebeen,1.0,2.995732273553991,2.995732273553991
147,refund,3.0,2.302585092994046,6.907755278982138
148,ever,4.0,0.5108256237659907,2.043302495063963
149,flight,2.0,2.302585092994046,4.605170185988092
150,nationwide,1.0,2.995732273553991,2.995732273553991
151,easy,1.0,2.995732273553991,2.995732273553991
152,favour,1.0,2.995732273553991,2.995732273553991
153,platino,3.0,2.302585092994046,6.907755278982138
154,every,4.0,1.6094379124341003,6.437751649736401
155,service,10.0,0.9162907318741551,9.162907318741551
156,different,1.0,2.995732273553991,2.995732273553991
157,big,2.0,2.302585092994046,4.605170185988092
158,torturedespite,1.0,2.995732273553991,2.995732273553991
159,rude,1.0,2.995732273553991,2.995732273553991
160,timetheir,1.0,2.995732273553991,2.995732273553991
161,help,1.0,2.302585092994046,2.302585092994046
162,paying,1.0,2.995732273553991,2.995732273553991
163,suck,1.0,2.995732273553991,2.995732273553991
164,told,8.0,1.2039728043259361,9.631782434607489
165,transferred,2.0,2.302585092994046,4.605170185988092
166,cannot,1.0,2.995732273553991,2.995732273553991
167,perennial,1.0,2.995732273553991,2.995732273553991
168,4,1.0,1.6094379124341003,1.6094379124341003
